EAN Manufacturier;IPC Manufacturier;Code Distributeur;Stock;Prix de vente;Marque;Categorie;Saison;Libelle complet;Prefixe;Largeur;Separateur;HB;Structure;Diametre;Suffixe;Indice de charge;Indice de vitesse;Indice2;Chambre;Flanc 1;Flanc 2;Flanc 3;Sculpture;Sculpture complementaire;Run Flat;Position;Utilisation;Choix;OE homologation;DELAI;D O T;Fuel;Wetgrip;Decibels;Noise
3286347672514;76725;344;27;73,6;FIRESTONE;PNEUS TOURISME ETE;Ete;185/70 R 13   86T   FIRESTONE   F590;;185;;70;R;13;;86;T;;;;;;F590;;;;;;;3;;G;E;71;3
3286342947716;29477;393;12;99,68;FIRESTONE;PNEUS TOURISME ETE;Ete;175/60 R 13   77H   FIRESTONE   FH700;;175;;60;R;13;;77;H;;;;;;FH700;;;;;;;3;;F;C;71;3
8019227142419;1424100;5628;20;71,93;PIRELLI;PNEUS TOURISME ETE;Ete;205/40 ZR 17   84W   PIRELLI   P ZERO NERO FSL XL ;;205;;40;ZR;17;;84;W;;TL;XL;;;P ZERO NERO;;;;;;FSL;3;;F;B;72;2
8019227136821;1368200;5655;6;124,54;PIRELLI;PNEUS TOURISME ETE;Ete;235/50 ZR 17   96Y   PIRELLI   P 6000 POWERGY FSL;;235;;50;ZR;17;;96;Y;;TL;;;;P 6000 P;;;;;;FSL;2;;F;C;71;2
8019227133066;1330600;5656;3;160,01;PIRELLI;PNEUS TOURISME ETE;Ete;235/50 ZR 18   97W   PIRELLI   P6000 POWERGY FSL;;235;;50;ZR;18;;97;W;;TL;;;;P6000 POWERGY;;;;;;FSL;3;;F;C;71;2
3286347711114;77111;5711;4;60,12;BRIDGESTONE;PNEUS TOURISME ETE;Ete;175/80 R 14   88T   BRIDGESTONE   B330 EVO;;175;;80;R;14;;88;T;;;;;;B330 EVO;;;;;;;3;;F;E;71;3
3286347853913;78539;919;20;93,02;BRIDGESTONE;PNEUS 4X4 ETE;Ete;225/75 R 15   110/108S   BRIDGESTONE   DUELER D693;;225;;75;R;15;;110/108;S;;TL;;;;DUELER D693;;;;;;;5;;E;C;74;3
3286347586811;75868;5750;10;96,33;BRIDGESTONE;PNEUS TOURISME ETE;Ete;205/50 ZR 17   89Y   BRIDGESTONE   POTENZA S-02A N4;;205;;50;ZR;17;;89;Y;;TL;;;;POTENZA S-02A;;;;;;N4 WAR;4;;F;C;71;2
3286347703010;77030;5751;3;121,27;BRIDGESTONE;PNEUS TOURISME ETE;Ete;235/50 R 18   101Y   BRIDGESTONE   POTENZA E040 XL;;235;;50;R;18;;101;Y;;TL;XL;;;POTENZA E040;;;;;;;3;;E;C;71;2
3286344880011;48800;937;12;122,55;BRIDGESTONE;PNEUS 4X4 ETE;Ete;255/70 R 15   108S   BRIDGESTONE   DUELER H/T 689;;255;;70;R;15;;108;S;;;;;;DUELER H/T 689;;;;;;;3;;E;F;72;2
